review,rating,date,bank,source,sentiment,confidence
The system is down completely when I try to pay at a merchant counter.,1,2026-02-10,CBE,Google Play,NEGATIVE,0.9997826218605042
Very slow authentication process. Fix the login screen loop.,1,2026-03-27,CBE,Google Play,NEGATIVE,0.9994550347328186
Fantastic banking experience. Transactions are instant and reliable.,5,2026-02-16,CBE,Google Play,POSITIVE,0.9998776912689209
Reliable app for daily banking transactions. Recommended.,4,2026-01-01,CBE,Google Play,POSITIVE,0.9996591806411743
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-05-07,CBE,Google Play,NEGATIVE,0.9961382746696472
Transfer is fine but airtime topup is completely broken right now.,3,2026-04-03,CBE,Google Play,NEGATIVE,0.9915052056312561
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-30,CBE,Google Play,POSITIVE,0.9997780919075012
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-02-16,CBE,Google Play,NEGATIVE,0.9997976422309875
Love the new UI updates. Everything is seamless and responsive.,5,2026-01-09,CBE,Google Play,POSITIVE,0.9998515844345093
Fantastic banking experience. Transactions are instant and reliable.,5,2026-03-18,CBE,Google Play,POSITIVE,0.9998776912689209
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-02-27,CBE,Google Play,NEGATIVE,0.9984906911849976
Easy to send money to other banks. Good work on the features.,4,2026-03-17,CBE,Google Play,POSITIVE,0.9997137188911438
Fantastic banking experience. Transactions are instant and reliable.,5,2026-01-31,CBE,Google Play,POSITIVE,0.9998776912689209
Fantastic banking experience. Transactions are instant and reliable.,5,2026-02-08,CBE,Google Play,POSITIVE,0.9998776912689209
Love the new UI updates. Everything is seamless and responsive.,5,2026-01-03,CBE,Google Play,POSITIVE,0.9998515844345093
Takes too long to load my balance statement. Needs optimization.,2,2026-01-09,CBE,Google Play,NEGATIVE,0.9996730089187622
The mobile app transfers fail often. Customer service doesn't help.,2,2026-03-22,CBE,Google Play,NEGATIVE,0.9989086389541626
Very slow authentication process. Fix the login screen loop.,1,2026-02-10,CBE,Google Play,NEGATIVE,0.9994550347328186
The system is down completely when I try to pay at a merchant counter.,1,2026-04-17,CBE,Google Play,NEGATIVE,0.9997826218605042
Very slow authentication process. Fix the login screen loop.,1,2026-01-06,CBE,Google Play,NEGATIVE,0.9994550347328186
Highly secure and extremely user friendly interface. Perfect job.,5,2026-03-06,CBE,Google Play,POSITIVE,0.9997780919075012
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-03-24,CBE,Google Play,POSITIVE,0.9994304776191711
Super fast transaction processing. Saved me a lot of time.,5,2026-02-06,CBE,Google Play,POSITIVE,0.9696264863014221
Easy to send money to other banks. Good work on the features.,4,2026-03-19,CBE,Google Play,POSITIVE,0.9997137188911438
Fantastic banking experience. Transactions are instant and reliable.,5,2026-03-25,CBE,Google Play,POSITIVE,0.9998776912689209
Love the new UI updates. Everything is seamless and responsive.,5,2026-04-06,CBE,Google Play,POSITIVE,0.9998515844345093
